 Imunizações - Cobertura - Brasil
Doses Cáculos CV por Unidade da Federação e Ano
Imuno: 074 Poliomielite
Período:2010-2019
"Unidade da Federação";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"Total"
"11 Rondônia";26389;27986;27559;27664;28654;28514;29049;29923;27046;15704;268488
"12 Acre";17536;18717;16194;16509;12585;14078;12167;12612;12207;8156;140761
"13 Amazonas";69942;65908;69525;73694;76499;82643;61556;61601;60189;42999;664556
"14 Roraima";9318;9203;8554;8543;9490;12131;9820;9716;9089;6132;91996
"15 Pará";147442;144821;139453;137661;116248;100218;90485;96257;93892;59386;1125863
"16 Amapá";12974;12092;13248;14101;12007;14489;7721;10364;10650;7219;114865
"17 Tocantins";24213;24813;23101;24278;22076;23434;21142;21431;21697;14698;220883
"21 Maranhão";131755;127189;120534;128088;108354;114681;81118;85052;87577;53764;1038112
"22 Piauí";49400;50275;47951;46683;39259;37555;33867;37212;39008;25066;406276
"23 Ceará";132742;131381;128487;134770;131838;142023;138737;124177;137195;79554;1280904
"24 Rio Grande do Norte";47268;47370;45953;45139;44934;45611;33785;33203;40645;20460;404368
"25 Paraíba";60581;61192;55258;63581;56993;54630;49156;47206;51344;29633;529574
"26 Pernambuco";143483;155417;141918;142876;143739;154539;129654;121042;122928;73647;1329243
"27 Alagoas";55727;50258;50038;52971;48992;49472;41454;42788;45664;28377;465741
"28 Sergipe";35044;36283;33984;34720;32147;32066;26905;27162;28703;18117;305131
"29 Bahia";208801;211820;202999;206888;197115;193804;144177;157531;153801;89505;1766441
"31 Minas Gerais";253366;260449;248823;268316;250745;251113;235424;230667;241515;150678;2391096
"32 Espírito Santo";53039;55711;54000;53171;53483;53760;50436;45940;48359;30209;498108
"33 Rio de Janeiro";231439;242886;209790;220297;224814;239545;210018;207660;190527;72481;2049457
"35 São Paulo";578068;600168;577072;603850;590235;608995;524536;545593;546801;321065;5496383
"41 Paraná";148567;152898;144370;160010;152038;151676;139974;143474;136007;91170;1420184
"42 Santa Catarina";82456;84429;83417;85543;86254;91982;85372;83999;87036;58371;828859
"43 Rio Grande do Sul";123408;127058;119476;138103;132583;126057;121051;122683;118883;78896;1208198
"50 Mato Grosso do Sul";40118;38467;41181;49720;54960;50903;41303;40127;40311;25394;422484
"51 Mato Grosso";48664;50028;48224;51754;52520;54467;51197;47764;48369;30067;483054
"52 Goiás";87946;93671;88325;96587;91043;90823;81874;83505;80976;51887;846637
"53 Distrito Federal";41380;37989;41142;48761;41037;33347;61099;39505;36114;24183;404557
"Total";2861066;2918479;2780576;2934278;2810642;2852556;2513077;2508194;2516533;1506818;26202219
 Fonte: Programa Nacional de Imunizações
 Notas:
 
 
Data de atualização dos dados: 04/09/2019
 
 
Os dados apresentados em 2013 se referem à soma dos seguintes dados:

Até Junho de 2013: dados do API DOS
A partir de Julho de 2013: APIWEB + SIPNI Web  (exceção UFs: AC, CE, DF , GO , MS, MT, PA, PR, RJ, SE, MA e TO por digitação duplicada)
Base de dados do ano de 2013 foi encerrada em 23/03/2015.
Doses aplicadas durante o MRC (pneumo 10 e meningo C) e Multivacinação

 
2014:

Dados do ano de 2014 são parciais. Referem-se ao recebimento das informações do APIWEB + SIPNI até a data de 23/03/2015.

